"text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"@WildYoungCharm Thank you, Cherra!!",FALSE,1,"WildYoungCharm",2020-03-31 21:59:00,FALSE,"1245107988370722818","1245108359394549761","24317047","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","JoelleMonique",0,FALSE,FALSE,NA,NA
"@JuliethMuozT Lo que hace Zoom premium",FALSE,1,"JuliethMuozT",2020-03-31 02:00:28,FALSE,"1244800749101625344","1244806737519050754","520713123","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","_cherra",0,FALSE,FALSE,NA,NA
"@_cherra 4 u baby.",FALSE,0,"_cherra",2020-03-30 02:11:04,FALSE,"1244444856862289923","1244447019701284865","2922008739","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","gabiacost",0,FALSE,FALSE,NA,NA
"This section right here is why Cherra is my wife. 😍 https://t.co/gsT46iVMbZ https://t.co/uBAdMcWxLQ",FALSE,3,NA,2020-03-29 20:48:05,FALSE,NA,"1244365737885663232",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","maria__giesela",0,FALSE,FALSE,NA,NA
"@Jacobo_PV Pray for Jacobo #LorenzoNoTeOlvidamos",FALSE,4,"Jacobo_PV",2020-03-29 18:37:13,FALSE,"1244255508367843328","1244332801232703488","618482181","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","cherra_w",0,FALSE,FALSE,NA,NA
"@JuliethMuozT I'm not sorry for that",FALSE,1,"JuliethMuozT",2020-03-29 17:06:41,FALSE,"1244150464016453632","1244310020365443075","520713123","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","_cherra",0,FALSE,FALSE,NA,NA
"pathetic",FALSE,0,NA,2020-03-28 21:37:35,FALSE,NA,"1244015806058573826",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","_cherra",0,FALSE,FALSE,NA,NA
"@_cherra Exactly.",FALSE,0,"_seggg2",2020-03-26 16:58:46,FALSE,"1243220260272197640","1243220863148797953","2922008739","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Dear_prudencee",0,FALSE,FALSE,NA,NA
"@Dear_prudencee Frances be like 🛌",FALSE,1,"Dear_prudencee",2020-03-26 16:56:22,FALSE,"1243216134381371393","1243220260272197640","228863804","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","_cherra",0,FALSE,FALSE,NA,NA
"Gansta style https://t.co/2434x39GTZ",FALSE,3,NA,2020-03-26 13:50:32,FALSE,NA,"1243173493040123906",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","cherra_w",1,FALSE,FALSE,NA,NA
"|[ 13. let me introduce myself, the name is macherra aboulaish corseilles. you can simply call me with cherra! ]

1… https://t.co/Cm7UQg4fPh",FALSE,0,"chaerrieong",2020-03-25 15:40:47,TRUE,"1242838031729491968","1242838849899778054","3366433933","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","chaerrieong",0,FALSE,FALSE,NA,NA
"See you on the other side of 21.",FALSE,0,NA,2020-03-25 14:31:11,FALSE,NA,"1242821334268284928",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","BC_CHERRA",0,FALSE,FALSE,NA,NA
"WOOF ! ! ! Everyone must tuck in their skirts hey 🤣

You, tuck in your skirt, YOU tuck in your skirt, YOU tuck in y… https://t.co/99HSL45ZXN",FALSE,0,NA,2020-03-25 14:30:47,TRUE,NA,"1242821234016038912",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","BC_CHERRA",0,FALSE,FALSE,NA,NA
"RR.

My favourites.",FALSE,0,NA,2020-03-25 14:25:52,FALSE,NA,"1242819996151173120",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","BC_CHERRA",0,FALSE,FALSE,NA,NA
