"text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"RT @FBiodiversidad: Este año tiene 8.784 horas ¡Dedícale una de ellas hoy al planeta 🌍🌑!

⏰ Entre las 20:30 y 21:30 h apaga la luz 💡y contr…",FALSE,0,NA,2020-03-28 10:05:05,FALSE,NA,"1243841532647673857",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","javiremiroperl",6,TRUE,FALSE,NA,NA
"Es lamentable, que sigamos destruyendo el planeta al antojo de unos pocos. #OGM #Deforestación #CambioClimático https://t.co/pdUCI2W5Ov",FALSE,0,NA,2020-03-28 10:04:31,FALSE,NA,"1243841388241989633",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","BelenLasReinas",0,FALSE,FALSE,NA,NA
"RT @FBiodiversidad: Este año tiene 8.784 horas ¡Dedícale una de ellas hoy al planeta 🌍🌑!

⏰ Entre las 20:30 y 21:30 h apaga la luz 💡y contr…",FALSE,0,NA,2020-03-28 10:03:22,FALSE,NA,"1243841101498396673",NA,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>","elguayatunoinfo",6,TRUE,FALSE,NA,NA
"RT @FBiodiversidad: Este año tiene 8.784 horas ¡Dedícale una de ellas hoy al planeta 🌍🌑!

⏰ Entre las 20:30 y 21:30 h apaga la luz 💡y contr…",FALSE,0,NA,2020-03-28 10:02:58,FALSE,NA,"1243841001069912065",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","Gonzalo48623392",6,TRUE,FALSE,NA,NA
"RT @FBiodiversidad: Este año tiene 8.784 horas ¡Dedícale una de ellas hoy al planeta 🌍🌑!

⏰ Entre las 20:30 y 21:30 h apaga la luz 💡y contr…",FALSE,0,NA,2020-03-28 10:01:36,FALSE,NA,"1243840657057361921",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","sanchezmariej32",6,TRUE,FALSE,NA,NA
"RT @FBiodiversidad: Este año tiene 8.784 horas ¡Dedícale una de ellas hoy al planeta 🌍🌑!

⏰ Entre las 20:30 y 21:30 h apaga la luz 💡y contr…",FALSE,0,NA,2020-03-28 10:01:03,FALSE,NA,"1243840518741688320",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","20mariosr",6,TRUE,FALSE,NA,NA
"La industria de #edificación utiliza la mitad de todos los #recursos nuevos y genera más de un tercio de los… https://t.co/xE5EhbDT2R",FALSE,0,NA,2020-03-28 10:00:39,TRUE,NA,"1243840418212728832",NA,"<a href=""https://www.hootsuite.com"" rel=""nofollow"">Hootsuite Inc.</a>","KnaufInsulSpain",0,FALSE,FALSE,NA,NA
"Este año tiene 8.784 horas ¡Dedícale una de ellas hoy al planeta 🌍🌑!

⏰ Entre las 20:30 y 21:30 h apaga la luz 💡y c… https://t.co/QxM5hzMZ4S",FALSE,4,NA,2020-03-28 10:00:00,TRUE,NA,"1243840253762256897",NA,"<a href=""https://studio.twitter.com"" rel=""nofollow"">Twitter Media Studio</a>","FBiodiversidad",6,FALSE,FALSE,NA,NA
"RT @Munagropecuario: El arma secreta de la agricultura: empoderar a las mujeres 

Las mujeres agricultoras enfrentan la peor parte de la am…",FALSE,0,NA,2020-03-28 09:59:29,FALSE,NA,"1243840123218903042",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","davsuaduque",4,TRUE,FALSE,NA,NA
"Súmate a la #HoraDelPlaneta, apaga tus luces de 20:30 a 21:30 y colabora en la lucha contra el #CambioClimático env… https://t.co/mM8EPQ83wd",FALSE,2,NA,2020-03-28 09:53:08,TRUE,NA,"1243838526279618560",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","policiapinto",0,FALSE,FALSE,NA,NA
"RT @coordinatren: El Tren es la alternativa. JL. Ordóñez #FerrocarrilPúblicoySocial frente al #CambioClimatico para vertebrar la #EspañaVac…",FALSE,0,NA,2020-03-28 09:52:24,FALSE,NA,"1243838341969215488",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","granadaportren",10,TRUE,FALSE,NA,NA
"RT @Pedrocig: La ignorancia del populista Bolsonaro es peligrosa. El dice:
Coronavirus es una “gripita”.
CambioClimático no existe,explotem…",FALSE,0,NA,2020-03-28 09:49:08,FALSE,NA,"1243837519243943938",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","rguerracortes",92,TRUE,FALSE,NA,NA
"RT @anaccues: Otro de los efectos de la aceleración del #cambioclimático: están desapareciendo especies de los fondos marinos que contribuy…",FALSE,0,NA,2020-03-28 09:46:40,FALSE,NA,"1243836897727778816",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","bioedafo",0,TRUE,FALSE,NA,NA
"RT @PenlopeTejada1: Pero ésto qué es????😠

Nadie controla esto? 

Al final acabarán todos los animales muertos.

Voy a mirar siempre las ""p…",FALSE,0,NA,2020-03-28 09:45:44,FALSE,NA,"1243836663702392832",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","FaeminaC",1,TRUE,FALSE,NA,NA
"RT @AsunCarretero: #28Marzo   #BuenosDías    #SabGenteChachi28Mar   #felizsabadoatodos   #HoradelPlaneta #ApagaporlaNaturaleza #CambioClima…",FALSE,0,NA,2020-03-28 09:45:33,FALSE,NA,"1243836618047356928",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","kaluapiscis",4,TRUE,FALSE,NA,NA
"RT @coordinatren: El Tren es la alternativa. JL. Ordóñez #FerrocarrilPúblicoySocial frente al #CambioClimatico para vertebrar la #EspañaVac…",FALSE,0,NA,2020-03-28 09:45:03,FALSE,NA,"1243836491312148480",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","jlordoniez1",10,TRUE,FALSE,NA,NA
"Pero ésto qué es????😠

Nadie controla esto? 

Al final acabarán todos los animales muertos.

Voy a mirar siempre la… https://t.co/GJFlAXZcUL",FALSE,1,NA,2020-03-28 09:45:01,TRUE,NA,"1243836481199910914",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","PenlopeTejada1",1,FALSE,FALSE,NA,NA
"RT @MoTrenRutaPlata: El #FerrocarrilPúblicoySocial  es la alternativa. JL. Ordóñez. Contra el #CambioClimático por un #NuevoModeloEnergétic…",FALSE,0,NA,2020-03-28 09:43:40,FALSE,NA,"1243836144195862528",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","aroca_pepe",10,TRUE,FALSE,NA,NA
"RT @coordinatren: El Tren es la alternativa. JL. Ordóñez #FerrocarrilPúblicoySocial frente al #CambioClimatico para vertebrar la #EspañaVac…",FALSE,0,NA,2020-03-28 09:43:35,FALSE,NA,"1243836122167496704",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","aroca_pepe",10,TRUE,FALSE,NA,NA
"RT @AstuEnerxia: Mañana 28M entre las 20:30 y 21:30 es la #HoraDelPlaneta, iniciativa de @WWF para llamar la atención sobre el cambio climá…",FALSE,0,NA,2020-03-28 09:43:05,FALSE,NA,"1243835995365261312",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Frank801",3,TRUE,FALSE,NA,NA
"RT @coordinatren: El Tren es la alternativa. JL. Ordóñez #FerrocarrilPúblicoySocial frente al #CambioClimatico para vertebrar la #EspañaVac…",FALSE,0,NA,2020-03-28 09:41:24,FALSE,NA,"1243835573535678464",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","MoTrenRutaPlata",10,TRUE,FALSE,NA,NA
"RT @coordinatren: Fondos Europeos @parlamentoUE @EU_Commission @vonderleyen para @Transport_EU @AdinaValean debería ser para el #Ferrocarri…",FALSE,0,NA,2020-03-28 09:40:55,FALSE,NA,"1243835450520932352",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","ChusaBarrantEQX",7,TRUE,FALSE,NA,NA
"RT @MoTrenRutaPlata: El #FerrocarrilPúblicoySocial  es la alternativa. JL. Ordóñez. Contra el #CambioClimático por un #NuevoModeloEnergétic…",FALSE,0,NA,2020-03-28 09:40:42,FALSE,NA,"1243835394803806208",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","ChusaBarrantEQX",10,TRUE,FALSE,NA,NA
"RT @coordinatren: El Tren es la alternativa. JL. Ordóñez #FerrocarrilPúblicoySocial frente al #CambioClimatico para vertebrar la #EspañaVac…",FALSE,0,NA,2020-03-28 09:40:38,FALSE,NA,"1243835379746209793",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","ChusaBarrantEQX",10,TRUE,FALSE,NA,NA
"Hoy es la hora del planeta, un pequeño gesto que consiste en apagar los aparatos eléctricos no indispensables duran… https://t.co/41bk4hjYv5",FALSE,0,NA,2020-03-28 09:40:16,TRUE,NA,"1243835285806428161",NA,"<a href=""https://www.hootsuite.com"" rel=""nofollow"">Hootsuite Inc.</a>","BodegaReina",0,FALSE,FALSE,NA,NA
"RT @coordinatren: @RailPressNews Fondos Europeos @parlamentoUE @EU_Commission @vonderleyen para @Transport_EU @AdinaValean debería ser para…",FALSE,0,NA,2020-03-28 09:40:12,FALSE,NA,"1243835271541592064",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","CPublicoySocial",5,TRUE,FALSE,NA,NA
"RT @coordinatren: @RailPressNews Fondos Europeos @parlamentoUE @EU_Commission @vonderleyen para @Transport_EU @AdinaValean debería ser para…",FALSE,0,NA,2020-03-28 09:40:09,FALSE,NA,"1243835258124013570",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","CPublicoySocial",6,TRUE,FALSE,NA,NA
"RT @coordinatren: Fondos Europeos @parlamentoUE @EU_Commission @vonderleyen para @Transport_EU @AdinaValean debería ser para el #Ferrocarri…",FALSE,0,NA,2020-03-28 09:40:07,FALSE,NA,"1243835251421589505",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","CPublicoySocial",7,TRUE,FALSE,NA,NA
"RT @MoTrenRutaPlata: El #FerrocarrilPúblicoySocial  es la alternativa. JL. Ordóñez. Contra el #CambioClimático por un #NuevoModeloEnergétic…",FALSE,0,NA,2020-03-28 09:39:46,FALSE,NA,"1243835162917515264",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","CPublicoySocial",10,TRUE,FALSE,NA,NA
"RT @coordinatren: El Tren es la alternativa. JL. Ordóñez #FerrocarrilPúblicoySocial frente al #CambioClimatico para vertebrar la #EspañaVac…",FALSE,0,NA,2020-03-28 09:39:43,FALSE,NA,"1243835148707258368",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","CPublicoySocial",10,TRUE,FALSE,NA,NA
"RT @AsunCarretero: #28Marzo   #BuenosDías    #SabGenteChachi28Mar   #felizsabadoatodos   #HoradelPlaneta #ApagaporlaNaturaleza #CambioClima…",FALSE,0,NA,2020-03-28 09:39:37,FALSE,NA,"1243835125722464259",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","morado_micolor",4,TRUE,FALSE,NA,NA
"RT @coordinatren: @RailPressNews Fondos Europeos @parlamentoUE @EU_Commission @vonderleyen para @Transport_EU @AdinaValean debería ser para…",FALSE,0,NA,2020-03-28 09:39:13,FALSE,NA,"1243835024446836737",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","PlasenciaNcomun",5,TRUE,FALSE,NA,NA
"RT @coordinatren: @RailPressNews Fondos Europeos @parlamentoUE @EU_Commission @vonderleyen para @Transport_EU @AdinaValean debería ser para…",FALSE,0,NA,2020-03-28 09:39:11,FALSE,NA,"1243835014082637826",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","PlasenciaNcomun",6,TRUE,FALSE,NA,NA
"RT @coordinatren: Fondos Europeos @parlamentoUE @EU_Commission @vonderleyen para @Transport_EU @AdinaValean debería ser para el #Ferrocarri…",FALSE,0,NA,2020-03-28 09:39:04,FALSE,NA,"1243834986035372032",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","PlasenciaNcomun",7,TRUE,FALSE,NA,NA
