"text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"RT @Aj1kZ: Hola amigas, soy coreana. ¡Estudio español! Aunque no soy muy bueno en español ahora, tengo algo que quiero pedirte. ¡Auxilio! H…",FALSE,0,NA,2020-03-28 10:12:56,FALSE,NA,"1243843508156477440",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","jungkiwii",8439,TRUE,FALSE,NA,NA
"HOLA!? TENGO LAS MEJORES AMIGAS DEL MUNDO!",FALSE,0,NA,2020-03-28 10:10:03,FALSE,NA,"1243842781484908544",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Sofcriaturita22",0,FALSE,FALSE,NA,NA
"#YOMEQUEDOENCASA Hola chicos Buen día Dominic soy Juan de Casilda te canto un tango ? Jajaja yo me quedo en casa pa… https://t.co/qstSsXUPGz",FALSE,0,NA,2020-03-28 10:09:47,TRUE,NA,"1243842715122651137",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","juancabelletti",0,FALSE,FALSE,NA,NA
"Hola mundo!! Anduve desaparecida 7 años por salud mental 🤣 ya estoy de vuelta!",FALSE,0,NA,2020-03-28 10:07:31,FALSE,NA,"1243842143241801729",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","AnallyIliana",0,FALSE,FALSE,NA,NA
"@EmittaArenales Hola Ema querido!! En el norte llegaron a 945 muertes en un día. Yo me vine para Sardegna, en la is… https://t.co/MQtVZEvO5M",FALSE,0,"EmittaArenales",2020-03-28 10:04:21,TRUE,"1243700737886105609","1243841347330736129","152863974","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","emif19",0,FALSE,FALSE,NA,NA
"RT @mirosawasawecka: @enriqueiglesias  Hola ....😊 
BUENOS DÍAS!! BUENAS TARDES !! BUENAS NOCHES !! 😷 Desde que parte del mundo estan en cua…",FALSE,0,NA,2020-03-28 10:02:42,FALSE,NA,"1243840932610539520",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","PucciaPatrizia",1,TRUE,FALSE,NA,NA
"Hola buen dia mundo, otro dia de mierda",FALSE,0,NA,2020-03-28 10:02:16,FALSE,NA,"1243840824426848256",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","SuperKidito",0,FALSE,FALSE,NA,NA
"@Cejotas_Gamer  hola cejotas un saludo desde cali Colombia, ya está haciendo como falta videos de historia, son ent… https://t.co/13DVqgzNSS",FALSE,0,"Cejotas_Gamer",2020-03-28 10:00:51,TRUE,NA,"1243840468749889537","132538783","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Christi87853178",0,FALSE,FALSE,NA,NA
"RT @GuillemBask: @viquirepublica @lprb63 Hola @miqueliceta , @AdaColau , @sanchezcastejon , @salvadorilla
hola tot déu que no para de dir q…",FALSE,0,NA,2020-03-28 09:55:04,FALSE,NA,"1243839012365905920",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","arraiano_seco",6,TRUE,FALSE,NA,NA
"RT @mundodeportivo: Hola, aquí os dejamos la portada de este sábado #portada #deporte https://t.co/NSvt6pI8Va https://t.co/HjmgyxMglB",FALSE,0,NA,2020-03-28 09:53:57,FALSE,NA,"1243838729690796032",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","parkingsevilla5",31,TRUE,FALSE,NA,NA
"@enriqueiglesias  Hola ....😊 
BUENOS DÍAS!! BUENAS TARDES !! BUENAS NOCHES !! 😷 Desde que parte del mundo estan en… https://t.co/Qa5vlA3stc",FALSE,1,"enriqueiglesias",2020-03-28 09:52:44,TRUE,NA,"1243838426564132864","46452468","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","mirosawasawecka",1,FALSE,FALSE,NA,NA
"RT @mundodeportivo: Hola, aquí os dejamos la portada de este sábado #portada #deporte https://t.co/NSvt6pI8Va https://t.co/HjmgyxMglB",FALSE,0,NA,2020-03-28 09:51:07,FALSE,NA,"1243838018529767425",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","anselmogg",31,TRUE,FALSE,NA,NA
"RT @Aj1kZ: Hola amigas, soy coreana. ¡Estudio español! Aunque no soy muy bueno en español ahora, tengo algo que quiero pedirte. ¡Auxilio! H…",FALSE,0,NA,2020-03-28 09:48:22,FALSE,NA,"1243837325953531904",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Scarlet483",8439,TRUE,FALSE,NA,NA
"RT @vonlichtenkraut: Hola, soy técnico en prevención de riesgos laborales y me ofrezco para denunciar a todos los jefes que incumplen el ar…",FALSE,0,NA,2020-03-28 09:46:06,FALSE,NA,"1243836756799053830",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Jghfgcgfhhjb",8069,TRUE,FALSE,NA,NA
"RT @literlandweb1: Hola. Estamos un poco ausentes por razones ajenas a nuestra voluntad. Un dichoso virus parece que ha llegado hasta nuest…",FALSE,0,NA,2020-03-28 09:42:09,FALSE,NA,"1243835760320679936",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Rosario50007497",387,TRUE,FALSE,NA,NA
"RT @ccp_mario: Hola México, Latinoamérica y el mundo... Soy la voz de Goku...! No les pido levantar los brazos para crear una Genkidama, pe…",FALSE,0,NA,2020-03-28 09:40:49,FALSE,NA,"1243835425799786496",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","r_yaby",60505,TRUE,FALSE,NA,NA
"Hola @JuanmaRomero_ me gustaría que me pusieses 4 besos de Lola Indigo para empezar el día con todo el buen rollo d… https://t.co/3GKtdebrvO",FALSE,0,NA,2020-03-28 09:37:42,TRUE,NA,"1243834641146134531",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","AndreBuilder7",0,FALSE,FALSE,NA,NA
"Si tuvieses la atención del mundo durante 30 segundos ¿Que dirías? — Hola y adiós. Lo siento, no quiero la atención… https://t.co/8vaqCZCY87",FALSE,2,NA,2020-03-28 09:36:49,TRUE,NA,"1243834417883287552",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","Plumartinta",0,FALSE,FALSE,NA,NA
"RT @Yo_Soy_Asin: Hola EEUU.

Que tal el Karma??

👇👇👇👇👇

Manifestantes bloquean la frontera de México para que no entren norteamericanos htt…",FALSE,0,NA,2020-03-28 09:36:43,FALSE,NA,"1243834394743377920",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","vilocatil",351,TRUE,FALSE,NA,NA
"RT @Yo_Soy_Asin: Hola EEUU.

Que tal el Karma??

👇👇👇👇👇

Manifestantes bloquean la frontera de México para que no entren norteamericanos htt…",FALSE,0,NA,2020-03-28 09:34:15,FALSE,NA,"1243833774359695360",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","frjeronimoperez",351,TRUE,FALSE,NA,NA
"RT @literlandweb1: Hola. Estamos un poco ausentes por razones ajenas a nuestra voluntad. Un dichoso virus parece que ha llegado hasta nuest…",FALSE,0,NA,2020-03-28 09:24:04,FALSE,NA,"1243831210167668736",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","LaFuente_Pt",387,TRUE,FALSE,NA,NA
"RT @QHaRi: Hola humanos, soy el Coronavirus:

Voy a explicarles por qué me va tan bien conquistando el mundo. 

Abro hilo 👇🏼
(basado en art…",FALSE,0,NA,2020-03-28 09:19:36,FALSE,NA,"1243830088065523712",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","liviblat",160499,TRUE,FALSE,NA,NA
"RT @Aj1kZ: Hola amigas, soy coreana. ¡Estudio español! Aunque no soy muy bueno en español ahora, tengo algo que quiero pedirte. ¡Auxilio! H…",FALSE,0,NA,2020-03-28 09:16:12,FALSE,NA,"1243829230909169664",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","dreamlabskz",8439,TRUE,FALSE,NA,NA
