"text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"RT @cheese_tone: あくまで症例の一例かつ個人ブログの記事で恐縮ですが、念の為症状が出る前からの経過記録を残しています。コロナの疑いがある方、どんな症状が出るのか気になる方はご参照下さい。こういう記録が少ないので、必要な人に届けば良いなと。

コロナウイルス経過…",FALSE,0,NA,2020-03-28 08:48:33,FALSE,NA,"1243822270344298498",NA,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","2G8xVJBID9hpkTZ",13,TRUE,FALSE,NA,NA
"RT @cheese_tone: あくまで症例の一例かつ個人ブログの記事で恐縮ですが、念の為症状が出る前からの経過記録を残しています。コロナの疑いがある方、どんな症状が出るのか気になる方はご参照下さい。こういう記録が少ないので、必要な人に届けば良いなと。

コロナウイルス経過…",FALSE,0,NA,2020-03-28 08:27:01,FALSE,NA,"1243816854247731202",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","therainbowdrop",13,TRUE,FALSE,NA,NA
"RT @cheese_tone: あくまで症例の一例かつ個人ブログの記事で恐縮ですが、念の為症状が出る前からの経過記録を残しています。コロナの疑いがある方、どんな症状が出るのか気になる方はご参照下さい。こういう記録が少ないので、必要な人に届けば良いなと。

コロナウイルス経過…",FALSE,0,NA,2020-03-28 07:11:24,FALSE,NA,"1243797824736645120",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","schwarz_kuro1",13,TRUE,FALSE,NA,NA
"RT @cheese_tone: あくまで症例の一例かつ個人ブログの記事で恐縮ですが、念の為症状が出る前からの経過記録を残しています。コロナの疑いがある方、どんな症状が出るのか気になる方はご参照下さい。こういう記録が少ないので、必要な人に届けば良いなと。

コロナウイルス経過…",FALSE,0,NA,2020-03-28 07:07:52,FALSE,NA,"1243796935246405633",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","yorihira_",13,TRUE,FALSE,NA,NA
"RT @cheese_tone: あくまで症例の一例かつ個人ブログの記事で恐縮ですが、念の為症状が出る前からの経過記録を残しています。コロナの疑いがある方、どんな症状が出るのか気になる方はご参照下さい。こういう記録が少ないので、必要な人に届けば良いなと。

コロナウイルス経過…",FALSE,0,NA,2020-03-28 05:14:17,FALSE,NA,"1243768348439019522",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","hungryfox0120",13,TRUE,FALSE,NA,NA
"RT @cheese_tone: あくまで症例の一例かつ個人ブログの記事で恐縮ですが、念の為症状が出る前からの経過記録を残しています。コロナの疑いがある方、どんな症状が出るのか気になる方はご参照下さい。こういう記録が少ないので、必要な人に届けば良いなと。

コロナウイルス経過…",FALSE,0,NA,2020-03-28 04:56:38,FALSE,NA,"1243763910093598721",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","riochicchi222",13,TRUE,FALSE,NA,NA
"RT @cheese_tone: あくまで症例の一例かつ個人ブログの記事で恐縮ですが、念の為症状が出る前からの経過記録を残しています。コロナの疑いがある方、どんな症状が出るのか気になる方はご参照下さい。こういう記録が少ないので、必要な人に届けば良いなと。

コロナウイルス経過…",FALSE,0,NA,2020-03-28 04:31:24,FALSE,NA,"1243757556679335937",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","daichihandflute",13,TRUE,FALSE,NA,NA
"RT @cheese_tone: あくまで症例の一例かつ個人ブログの記事で恐縮ですが、念の為症状が出る前からの経過記録を残しています。コロナの疑いがある方、どんな症状が出るのか気になる方はご参照下さい。こういう記録が少ないので、必要な人に届けば良いなと。

コロナウイルス経過…",FALSE,0,NA,2020-03-28 04:28:21,FALSE,NA,"1243756790090625024",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","bluebadgerDL6",13,TRUE,FALSE,NA,NA
"あくまで症例の一例かつ個人ブログの記事で恐縮ですが、念の為症状が出る前からの経過記録を残しています。コロナの疑いがある方、どんな症状が出るのか気になる方はご参照下さい。こういう記録が少ないので、必要な人に届けば良いなと。

コロナ… https://t.co/3GEl1dgOST",FALSE,17,"cheese_tone",2020-03-28 04:17:04,TRUE,"1243678149315121155","1243753952136572928","3016597339","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","cheese_tone",13,FALSE,FALSE,NA,NA
"RT @cesango: @m1628 @jguaido (Y supongo que la primera amnésica será su vocera oficial, la #HolaMundo 😆😆) https://t.co/EA3HqHMgcf",FALSE,0,NA,2020-03-28 02:31:18,FALSE,NA,"1243727335590895618",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","cesango",1,TRUE,FALSE,NA,NA
