"text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"How do we know if we’re healthy if we’ve not been tested.. 👀 since so many ‘healthy’ people have now died of corona… https://t.co/mvdoObl5yx",FALSE,0,NA,2020-03-27 12:16:10,TRUE,NA,"1243512131481415681",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","hennahh48",0,FALSE,FALSE,NA,NA
"RT @WayneDupreeShow: America surpasses the rest of the world in confirmed #Coronavirus cases

It makes sense. We have spring-breakers, chur…",FALSE,0,NA,2020-03-27 12:16:10,FALSE,NA,"1243512131426934789",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","StevieStacks84",34,TRUE,FALSE,NA,NA
"RT @Programar2020: Estaremos el 30/3 con Fernando Schapachnik participando de la serie de #Webinars 'Educación y creatividad en tiempos de…",FALSE,0,NA,2020-03-27 12:16:10,FALSE,NA,"1243512131410149376",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","mfferrar",5,TRUE,FALSE,NA,NA
"RT @realDonaldTrump: Just finished a very good conversation with President Xi of China. Discussed in great detail the CoronaVirus that is r…",FALSE,0,NA,2020-03-27 12:16:10,FALSE,NA,"1243512131401723905",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","puitea",28837,TRUE,FALSE,NA,NA
"RT @DouglasGarcia: Eu já colhi todas as denúncias relacionadas a este decreto do Doria sobre o n° de casos de coronavírus e estou em contat…",FALSE,0,NA,2020-03-27 12:16:10,FALSE,NA,"1243512131389206531",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Robson42df",2722,TRUE,FALSE,NA,NA
"RT @CBCAlerts: Here's our latest story by Steven D'Souza @CBCNews on the dire situation facing New York City, which accounts for a third of…",FALSE,0,NA,2020-03-27 12:16:10,FALSE,NA,"1243512131351388161",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","gnmgrc",26,TRUE,FALSE,NA,NA
"RT @Simonovis: Desde hace algunos meses he dicho que no hay forma que @NicolasMaduro ni sus más cercanos colaboradores escapen de la justic…",FALSE,0,NA,2020-03-27 12:16:10,FALSE,NA,"1243512131343056896",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","YuraimaFernan10",11056,TRUE,FALSE,NA,NA
"RT @jackie14AP: นายกฯ อังกฤษ บอริส จอห์นสัน
ติดเชื้อโควิด19 Britain's PM has tested positive for coronavirus 
ต้อง ทำงานจากบ้าน",FALSE,0,NA,2020-03-27 12:16:10,FALSE,NA,"1243512131326181377",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","jarkkrapobosk16",13,TRUE,FALSE,NA,NA
"RT @CharlesMBlow: I don’t understand when people say the #coronavirus may be seasonal and ease up as the weather heats up. It’s hot already…",FALSE,0,NA,2020-03-27 12:16:10,FALSE,NA,"1243512131305250817",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","VivekVi65527645",149,TRUE,FALSE,NA,NA
"RT @Clauwild1: E uma notícia de esperança vinda da Itália. Um senhor de 101 anos sobreviveu após ser internado em virtude do coronavírus. E…",FALSE,0,NA,2020-03-27 12:16:10,FALSE,NA,"1243512131271737345",NA,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>","murilodibarbosa",350,TRUE,FALSE,NA,NA
