"text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"@SelenaRozes96 Hola 
Cómo es la dinámica 
Platícame",FALSE,0,"SelenaRozes96",2020-03-28 10:09:47,FALSE,"1243841279248814083","1243842716733181953","933314083511603200","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","HectorSidius",0,FALSE,FALSE,NA,NA
"#YOMEQUEDOENCASA Hola chicos Buen día Dominic soy Juan de Casilda te canto un tango ? Jajaja yo me quedo en casa pa… https://t.co/qstSsXUPGz",FALSE,0,NA,2020-03-28 10:09:47,TRUE,NA,"1243842715122651137",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","juancabelletti",0,FALSE,FALSE,NA,NA
"RT @gar_manchon: Hola “querida” Rosa @rosadiezglez ¿me puedes contestar a una pregunta?
¿Estás pidiendo un #GolpeDeEstadoMilitar por mor de…",FALSE,0,NA,2020-03-28 10:09:46,FALSE,NA,"1243842710760497153",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","AllSioux",3,TRUE,FALSE,NA,NA
"@MIDORI30550171 それで笑ってるんだろ！笑笑",FALSE,0,"MIDORI30550171",2020-03-28 10:09:46,FALSE,"1243802005551722497","1243842709233651712","1221569135475249153","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Gracias__Hola",0,FALSE,FALSE,NA,NA
"@PTelenti hola chatin",FALSE,0,"PTelenti",2020-03-28 10:09:45,FALSE,NA,"1243842707950272512","1226091421767229441","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","dvdclng",0,FALSE,FALSE,NA,NA
"RT @andygaribay: Hola todos los que vean esto, si estar en cuarentena les hace sentirse tristes o pensar de más y necesitan hablar con algu…",FALSE,0,NA,2020-03-28 10:09:45,FALSE,NA,"1243842707555926017",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","MiriTG01",2,TRUE,FALSE,NA,NA
"RT @Mariam_Gower: hola, ¿quieres venir a mi casa a jugar mario kart mientras nos empedamos? 

enviar",FALSE,0,NA,2020-03-28 10:09:45,FALSE,NA,"1243842707316826112",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","ClarizaMR",336,TRUE,FALSE,NA,NA
"RT @KevinGaray10: Hola sueño en qué momento pensas aparecer?",FALSE,0,NA,2020-03-28 10:09:44,FALSE,NA,"1243842700836773888",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Edevalentinn",1,TRUE,FALSE,NA,NA
"RT @MARIAVOTOTHEEND: Hola Domínguez, como estas?? Toda la familia bien? Cuidate y quédate en casa 😉👍🏻 hoy votamos con refranes!!! 
Voto por…",FALSE,0,NA,2020-03-28 10:09:42,FALSE,NA,"1243842695883350017",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","ali_jov_",16,TRUE,FALSE,NA,NA
"RT @SrVaca__: *primer dia siendo cajero en el mercadona*

cliente: buenas 

yo: hola, bienvenido a Mercadona, quiere usted una Mercabolsa p…",FALSE,0,NA,2020-03-28 10:09:42,FALSE,NA,"1243842695547752456",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","_whereiscelia",3353,TRUE,FALSE,NA,NA
