"text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"RT @BrujulaOndaCero: ""Los @populares llevan muchos años ignorando el tema del #cambioclimático. Hemos perdido mucho tiempo"": @juralde, @aho…",FALSE,0,NA,2019-05-20 19:40:32,FALSE,NA,"1130558947226771456",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Equo",3,TRUE,FALSE,NA,NA
"RT @Equo: 🗨 ""Tenemos sol y viento, y las renovables ha estado marginadas; la contaminación es un problema cada vez mayor, y cuando se plant…",FALSE,0,NA,2019-05-20 19:40:21,FALSE,NA,"1130558903031345153",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Ditavillarroel",6,TRUE,FALSE,NA,NA
"RT @BrujulaOndaCero: ""Los @populares llevan muchos años ignorando el tema del #cambioclimático. Hemos perdido mucho tiempo"": @juralde, @aho…",FALSE,0,NA,2019-05-20 19:40:17,FALSE,NA,"1130558886023503872",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","OndaCero_es",3,TRUE,FALSE,NA,NA
"RT @ekiots: En este curso que damos @Mugatik y yo en Zaragoza con @ITAINNOVA mostraremos que hay un camino posible para que las empresas as…",FALSE,0,NA,2019-05-20 19:40:15,FALSE,NA,"1130558874942095360",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","lourdesbuisan",1,TRUE,FALSE,NA,NA
"Convocatoria @ClimateLaunch La mayor competición mundial de ideas de negocio relacionadas con el #CambioClimático.… https://t.co/AyvzBfn6PU",FALSE,0,NA,2019-05-20 19:40:09,TRUE,NA,"1130558852708130816",NA,"<a href=""https://www.hootsuite.com"" rel=""nofollow"">Hootsuite Inc.</a>","ceei",0,FALSE,FALSE,NA,NA
"📣 Esto es lo que ocurriría si se derritiera todo el hielo del planeta #CambioClimático https://t.co/5D7HuzX42e",FALSE,0,NA,2019-05-20 19:39:35,FALSE,NA,"1130558708830937088",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","GiraInformativa",0,FALSE,FALSE,NA,NA
"""Los @populares llevan muchos años ignorando el tema del #cambioclimático. Hemos perdido mucho tiempo"": @juralde,… https://t.co/e9vditiJIQ",FALSE,1,NA,2019-05-20 19:39:33,TRUE,NA,"1130558698051518464",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","BrujulaOndaCero",3,FALSE,FALSE,NA,NA
"RT @COP25CL: Vía @el_pais👉Los árboles cada vez crecen más rápido y mueren antes: según avanza el #CambioClimático, los bosques pierden su c…",FALSE,0,NA,2019-05-20 19:39:27,FALSE,NA,"1130558674555031554",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","villegas_pao",5,TRUE,FALSE,NA,NA
"Mañana estaremos compartiendo en #Habana desde #Parlamento #cubano en el enfrentamiento al #CambioClimatico.… https://t.co/Up8XBuH0db",FALSE,0,NA,2019-05-20 19:38:56,TRUE,NA,"1130558543793414146",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","BalbinYury",0,FALSE,FALSE,NA,NA
"🔵 Las ciudades que quedarán sumergidas en el agua debido al derretimiento de los glaciares #CambioClimático https://t.co/vlVOrAm9H9",FALSE,0,NA,2019-05-20 19:38:46,FALSE,NA,"1130558501753954305",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","LaCronologia",0,FALSE,FALSE,NA,NA
